Theme,p_collect,o_collect,o_predicted,p_score,o_score,Resources
Beach Party,84,11,50119,82236,48556,NI
Summer Story,84,57,56500,85156,67290,NI
Fire in the Winter,84,21,52099,85418,52646,NI
Cloud Lady,84,32,97452,151587,120209,NI
Summer Party,84,30,53375,85815,64027,NI
Summer Party,60,6,33870,83378,40311,NI
Great Detective,60,41,44654,79188,52146,NI
Beach Party,60,49,49315,78665,59564,NI
Intern Translator,60,32,79718,137130,89600,NI
Golden Odeum,60,21,57436,89247,69808,NI
Office Star,64,10,36935,80317,39990,NI
Intern Translator,64,18,44579,139444,51247,NI
Where is Spring,64,52,46975,80801,58739,NI
Imperial Ball,64,60,65207,,,NI
Imperial Ball,64,46,59596,90283,62333,NI
Beach Party,64,11,39830,46572,75970,NI
Cloud Lady,62,13,48121,144896,50804,NI
Fire in the Winter,62,12,39206,75733,42852,NI
Ongoing Sports,62,26,40299,77719,44397,NI
Summer Party,62,24,51960,79442,55502,NI
Fairytale Garden,62,42,44459,85712,52022,NI
Cloud Lady,15,5,40630,67716,43732,None
The Queen,15,2,48833,70645,57720,None
Office Star,62,40,44360,82149,55796,NI
Intern Translator,62,26,50510,127600,57448,NI
Summer Story,62,24,39256,79285,37190,NI
Fairytale Garden,62,46,44309,87689,40131,NI
Spring Outing,62,34,39661,78052,37612,NI
Great Detective,60,39,51458,75292,56832,NI
Imperial Ball,60,35,48696,80895,67125,NI
Christmas Reunion,60,34,40143,73914,45073,NI
Christmas Reunion,60,29,38795,74211,39332,NI
Intern Translator,60,4,42827,129201,51530,NI
Intern Translator,62,8,32790,141566,38303,NI
Fairytale Garden,62,13,43660,78526,44519,NI
Fairytale Garden,62,40,46169,88167,44024,NI
Christmas Reunion,62,11,42107,71397,46921,NI
Summer Party,62,8,42045,78406,46498,NI
A Growing Lady,60,10,46777,78626,56065,NI
Beach Party,60,15,27442,78842,29056,NI
Imperial Ball,60,16,55893,83863,62633,NI
Beach Party,60,46,56441,67281,60686,NI
The Queen,60,33,51547,96027,60897,NI
Fire in the Winter,62,4,30559,81042,29287,NI
Great Detective,62,12,16465,78878,15589,NI
Where is Spring,62,42,45165,78235,54117,NI
Ongoing Sports,62,8,33684,74699,40305,NI
Christmas Reunion,62,8,39765,76791,37570,NI
Great Detective,28,20,45191,80312,52652,NI
Fire in the Winter,28,42,28632,79720,28789,NI
Beach Party,28,37,47424,78369,62555,NI
Summer Story,28,20,55998,75900,62252,NI
Office Star,28,15,32585,83863,40347,NI
Christmas Reunion,62,35,43569,75723,41428,NI
Ongoing Sports,62,29,49951,86143,57276,NI
Golden Odeum,62,25,52401,90040,55462,NI
Spring Outing,62,59,46744,89394,45495,NI
Where is Spring,62,24,51433,87153,50774,NI
Beach Party,84,12,57305,74982,61310,NI
Where is Spring,84,12,50346,71629,59595,NI
The Queen,84,25,53191,96560,58300,NI
Fairytale Garden,84,49,57009,75838,61407,NI
Where is Spring,84,13,53890,82466,59540,NI
Great Detective,62,43,43976,65960,43688,NI
Christmas Reunion,62,18,45353,77505,50493,NI
Where is Spring,62,38,52560,78005,63332,NI
Intern Translator,62,63,50469,146238,48091,NI
Summer Party,62,4,40726,87292,51345,NI
Spring Outing,62,46,31364,82407,31458,NI
The Queen,62,15,43425,87393,48608,NI
The Queen,62,8,41769,93126,39492,NI
Cloud Lady,62,11,48960,145014,62949,NI
Where is Spring,62,43,42677,90908,43810,NI
Ongoing Sports,60,4,46599,81608,52485,NI
Beach Party,60,27,39100,74022,40852,NI
The Queen,60,25,57367,96494,65982,NI
The Queen,60,14,57100,91066,68880,NI
Fairytale Garden,60,44,50035,85012,59356,NI
Summer Story,60,45,37116,79539,39582,NI
Beach Party,60,41,41450,74463,54926,NI
Imperial Ball,60,40,52278,89798,55999,NI
Summer Story,60,35,39248,74138,50906,NI
Cloud Lady,60,36,53837,147146,66870,NI
Spring Outing,60,10,43266,81522,49547,NI
Imperial Ball,60,51,55815,88115,64377,NI
Christmas Reunion,60,5,53587,72478,63198,NI
Spring Outing,60,44,56674,83393,57388,NI
Office Star,60,51,53478,77691,71084,NI
The Queen,62,53,50243,83825,57781,NI
Fire in the Winter,62,32,30454,80114,37212,NI
A Growing Lady,62,6,39698,81399,41809,NI
Fire in the Winter,62,6,29827,82036,35438,NI
Office Star,62,32,50187,83683,59217,NI
Imperial Ball,62,29,49587,91992,55536,NI
Cloud Lady,62,42,63802,135309,84038,NI
The Queen,62,5,49055,85264,54886,NI
Fairytale Garden,62,4,33682,82698,36010,NI
Office Star,62,11,48811,85486,48463,NI
Spring Outing,60,4,37341,90371,41325,NI
Summer Party,60,34,49351,82208,56195,NI
Ongoing Sports,60,23,56918,78396,61169,NI
Where is Spring,60,10,55488,91941,67061,NI
Fire in the Winter,60,45,44713,76526,52386,NI
Fire in the Winter,60,42,38559,70702,43375,NI
Fire in the Winter,60,33,46374,81102,59415,NI
The Queen,60,14,58569,89753,69453,NI
Christmas Reunion,60,34,53372,78143,67091,NI
Spring Outing,60,35,50594,83066,59938,NI
Summer Story,62,12,34193,65532,35064,NI
The Queen,62,49,44829,93648,51649,NI
Christmas Reunion,62,4,37028,78136,35819,NI
Cloud Lady,62,12,34065,150422,36605,NI
Christmas Reunion,62,16,40923,74263,42705,NI
A Growing Lady,62,9,34138,85363,38209,NI
Where is Spring,62,16,25510,90988,30107,NI
Golden Odeum,62,13,42759,98233,41361,NI
Imperial Ball,62,4,39419,91016,39479,NI
Spring Outing,62,37,35001,80375,32909,NI
Great Detective,60,15,22531,76197,26020,NI
Christmas Reunion,60,35,46739,80333,49110,NI
A Growing Lady,60,35,43507,77434,44078,NI
A Growing Lady,60,20,52824,83223,55523,NI
Spring Outing,62,26,49623,83326,61296,NI
Cloud Lady,62,7,43694,147738,50691,NI
Fairytale Garden,62,44,48319,83590,59229,NI
Summer Party,62,29,38110,86224,45045,NI
Office Star,62,9,35037,83895,38275,NI
Great Detective,62,32,43743,72312,46621,NI
Imperial Ball,62,5,37173,87603,41675,NI
Intern Translator,62,18,42799,128686,51799,NI
Golden Odeum,61,11,46879,89165,58555,NI
Golden Odeum,61,4,41842,87978,47546,NI
Summer Story,60,33,47600,81697,47986,NI
Beach Party,60,46,50893,76944,58223,NI
Golden Odeum,60,33,54521,97273,66844,NI
Summer Story,60,33,35998,80921,38785,NI
Fire in the Winter,61,50,41004,80841,51858,NI
Summer Story,61,29,35131,79854,35234,NI
Ongoing Sports,61,20,32076,80922,38992,NI
Ongoing Sports,61,30,46515,79344,47343,NI
Summer Party,61,27,45916,84184,54989,NI
Christmas Reunion,61,17,37460,75070,41484,NI
Fairytale Garden,61,27,40878,86342,40011,NI
Christmas Reunion,61,39,41657,63669,42457,NI
Summer Party,61,3,33246,83014,33571,NI
